id;name;code;address;tel;type;email
31;Vilniaus Antakalnio progimnazija;302818006;Vilniaus m. sav. Vilniaus m. Antakalnio g. 33;37065900612;Progimnazija;rastine@antakalnio.lt
32;Vilniaus Antano Vienuolio progimnazija;300134205;Vilniaus m. sav. Vilniaus m. Aušros Vartų g. 23;37052314084;Progimnazija;rastine@vienuolio.vilnius.lm.lt
33;Vilniaus Balsių progimnazija;302589995;Vilniaus m. sav. Vilniaus m. Bubilo g. 8;37052320998;Progimnazija;rastine@balsiu.vilnius.lm.lt
34;Vilniaus Baltupių progimnazija;190000894;Vilniaus m. sav. Vilniaus m. Didlaukio g. 23;37052778345;Progimnazija;rastine@baltupiu.vilnius.lm.lt
35;Vilniaus Barboros Radvilaitės progimnazija;195474280;Vilniaus m. sav. Vilniaus m. Genių g. 8;37052671425;Progimnazija;rastine@radvilaites.vilnius.lm.lt
36;Vilniaus darželis - mokykla Saulutė;190022061;Vilniaus m. sav. Vilniaus m. Miglos g. 1;37052756056;Pradinė mokykla;rastine@saulute.vilnius.lm.lt
37;Vilniaus darželis - mokykla Vaivorykštė;190013393;Tuskulėnų g. 42, Vilnius;37052732255;Pradinė mokykla;rastine@vaivorykste.vilnius.lm.lt
39;Vilniaus darželis-mokykla Dainorėliai;190012291;Vilniaus m. sav. Vilniaus m. Ankštoji g. 11;37052497572;Pradinė mokykla;rastine@dainoreliu.vilnius.lm.lt
40;Vilniaus darželis-mokykla Lokiukas;190028139;Igno Šimulionio g. 8, Vilnius;37052455798;Pradinė mokykla;rastine@lokiukas.vilnius.lm.lt
41;Vilniaus darželis-mokykla Šaltinėlis;190021689;Vilniaus m. sav. Vilniaus m. Šaltkalvių g. 13;37052166071;Pradinė mokykla;rastine@saltinelis.vilnius.lm.lt
42;Vilniaus darželis-mokykla Svaja;190026654;Vilniaus m. sav. Vilniaus m. Architektų g. 210;37052443730;Pradinė mokykla;rastine@svajos.vilnius.lm.lt
43;Vilniaus darželis-mokykla Vilija;190022976;Vilniaus m. sav. Vilniaus m. Taikos g. 15;37052426441;Pradinė mokykla;rastine@vilija.vilnius.lm.lt
45;Vilniaus Emilijos Pliaterytės progimnazija;195472653;Vilniaus m. sav. Vilniaus m. Žirmūnų g. 119;37052770792;Progimnazija;rastine@pliaterytes.vilnius.lm.lt
46;Vilniaus Fabijoniškių mokykla;190003851;Vilniaus m. sav. Vilniaus m. P. Žadeikos g. 2;37052483048;Pagrindinė mokykla;rastine@fabijoniskiu.vilnius.lm.lt
47;Vilniaus Filaretų pradinė mokykla;190004234;Filaretų g. 43, Vilnius;37052154963;Pradinė mokykla;rastine@filaretu.vilnius.lm.lt
48;Vilniaus Gabijos gimnazija;190003513;Pašilaičių g. 13, Vilnius;37052703140;Gimnazija;rastine@gabijos.vilnius.lm.lt
49;Vilniaus Gabrielės Petkevičaitės-Bitės suaugusiųjų mokymo centras;291710460;Žirmūnų g. 32, Vilnius;37052797624;Pagrindinė mokykla;rastine@bitescentras.vilnius.lm.lt
50;Vilniaus Gedimino technikos universiteto inžinerijos licėjus;190001843;Vilniaus m. sav. Vilniaus m. Antakalnio g. 120;37052342084;Gimnazija;rastine@vilicejus.vilnius.lm.lt
51;Vilniaus Gerosios Vilties progimnazija;190004615;Vilniaus m. sav. Vilniaus m. Skroblų g. 3;37052336449;Progimnazija;rastine@vilties.vilnius.lm.lt
52;Vilniaus Jeruzalės progimnazija;190000937;Vilniaus m. sav. Vilniaus m. Mokyklos g. 9;37052697203;Progimnazija;rastine@jeruzale.vilnius.lm.lt
53;Vilniaus Joachimo Lelevelio inžinerijos gimnazija;190000175;Vilniaus m. sav. Vilniaus m. Minties g. 3;37052342087;Gimnazija;rastine@lelevelio.vilnius.lm.lt
54;Vilniaus Jono Basanavičiaus gimnazija;302522904;S. Konarskio g. 34, Vilnius;37052330452;Gimnazija;rastine@basanaviciaus.vilnius.lm.lt
55;Vilniaus Jono Basanavičiaus progimnazija;302523034;Vilniaus m. sav. Vilniaus m. S. Konarskio g. 27;37052131288;Progimnazija;rastine@basanaviciausprogimnazija.vilnius.lm.lt
56;Vilniaus Jono Ivaškevičiaus jaunimo mokykla;191709681;Viršuliškių g. 103, Vilnius;37052400918;Pagrindinė mokykla;rastine@ivaskeviciaus.vilnius.lm.lt
57;Vilniaus Jono Pauliaus II gimnazija;191715588;Virginijaus Druskio g. 11, Vilnius;37052444504;Gimnazija;rastine@jonopauliausgimnazija.vilnius.lm.lt
58;Vilniaus Jono Pauliaus II progimnazija;195472315;Vilniaus m. sav. Vilniaus m. Rygos g. 10;37052417765;Progimnazija;rastine@jonopauliausprogimnazija.vilnius.lm.lt
59;Vilniaus Juzefo Ignacijaus Kraševskio gimnazija;190007878;Rugiagėlių g. 15, Vilnius;3705271527;Gimnazija;rastine@krasevskio.vilnius.lm.lt
60;Vilniaus karaliaus Mindaugo mokykla;190005336;Vilniaus m. sav. Vilniaus m. Mindaugo g. 9;37052652383;Pagrindinė mokykla;rastine@mindaugo.vilnius.lm.lt
61;Vilniaus Karoliniškių gimnazija;190008631;Vilniaus m. sav. Vilniaus m. Sausio 13-osios g. 17;37052452443;Gimnazija;rastine@karoliniskiugimnazija.vilnius.lm.lt
62;Vilniaus Lazdynų mokykla;190005489;Vilniaus m. sav. Vilniaus m. Žėručio g. 4;37052445158;Pagrindinė mokykla;rastine@lazdynu.vilnius.lm.lt
63;Vilniaus Levo Karsavino mokykla;190002411;Vilniaus m. sav. Vilniaus m. Justiniškių g. 43;37052410213;Pagrindinė mokykla;rastine@karsavino.vilnius.lm.lt
64;Vilniaus licėjus;291221220;Širvintų g. 82, Vilnius;37052775836;Gimnazija;rastine@licejus.lt
65;Vilniaus Liepkalnio mokykla;190007159;Vilniaus m. sav. Vilniaus m. Liepkalnio g. 18;37052626612;Pagrindinė mokykla;rastine@liepkalnio.vilnius.lm.lt
66;Vilniaus Maironio progimnazija;190002564;Vilniaus m. sav. Vilniaus m. Čiobiškio g. 1;37052400547;Progimnazija;rastine@maironioprogimnazija.vilnius.lm.lt
67;Vilniaus Martyno Mažvydo progimnazija;195003862;Vydūno g. 17A, Vilnius;37052795579;Progimnazija;rastine@mazvydo.vilnius.lm.lt
68;Vilniaus Medeinos pradinė mokykla;190032746;Medeinos g. 27, Vilnius;37052470676;Pradinė mokykla;rastine@medeinos.vilnius.lm.lt
69;Vilniaus Mykolo Biržiškos gimnazija;190003328;Taikos g. 81, Vilnius;37052421611;Gimnazija;rastine@birziskos.vilnius.lm.lt
70;Vilniaus Naujamiesčio mokykla;290004420;Vilniaus m. sav. Vilniaus m. T. Ševčenkos g. 17;37052332349;Pagrindinė mokykla;rastine@naujamiescio.vilnius.lm.lt
71;Vilniaus Naujininkų mokykla;190007344;Šaltkalvių g. 32, Vilnius;37052166366;Pagrindinė mokykla;rastine@naujininku.vilnius.lm.lt
72;Vilniaus Ozo gimnazija;190009014;Vilniaus m. sav. Vilniaus m. Ozo g. 39;37052400786;Gimnazija;rastine@ozo.vilnius.lm.lt
73;Vilniaus Pavilnio pagrindinė mokykla;190008065;Vilniaus m. sav. Vilniaus m. J. Kolaso g. 18;37052674889;Pagrindinė mokykla;rastine@pavilnio.vilnius.lm.lt
74;Vilniaus Petro Vileišio progimnazija;195008119;Vilniaus m. sav. Vilniaus m. Filaretų g. 3;37052153657;Progimnazija;rastine@pvileisis.vilnius.lm.lt
75;Vilniaus Pilaitės gimnazija;190006438;Įsruties g. 3, Vilnius;37052307442;Gimnazija;rastine@pilaites.vilnius.lm.lt
76;Vilniaus Pranciškaus Skorinos gimnazija;191722390;Sietyno g. 21, Vilnius;37052457928;Gimnazija;rastine@skorinos.vilnius.lm.lt
77;Vilniaus Prano Mašioto pradinė mokykla;195008076;Žirmūnų g. 53, Vilnius;37052772736;Pradinė mokykla;rastine@masioto.vilnius.lm.lt
78;Vilniaus Radvilų gimnazija;190003285;Vilniaus m. sav. Vilniaus m. Gelvonų g. 55;37052405196;Gimnazija;rastine@radvilu.vilnius.lm.lt
79;Vilniaus Salininkų gimnazija;191317118;Vaikų g. 16, Vilnius;37052358167;Gimnazija;rastine@salininku.vilnius.lm.lt
80;Vilniaus Salomėjos Nėries gimnazija;190004387;Vilniaus m. sav. Vilniaus m. Vilniaus g. 32;37052626636;Gimnazija;rastine@sneries.vilnius.lm.lt
81;Vilniaus Sausio 13-osios mokykla;190005293;Architektų g. 166, Vilnius;37052443529;Progimnazija;rastine@sausio13.vilnius.lm.lt
82;Vilniaus savivaldybės Grigiškių Šviesos gimnazija;190661671;Vilniaus m. sav. Grigiškių m. Šviesos g. 16;37052432610;Gimnazija;rastine@sviesosgimnazija.vilnius.lm.lt
84;Vilniaus savivaldybės Grigiškių gimnazija;190661333;Vilniaus m. sav. Grigiškių m. Kovo 11-osios g. 21;37052432555;Gimnazija;rastine@grigiskiuvidurine.vilnius.lm.lt
85;Vilniaus savivaldybės Grigiškių pradinė mokykla;190648581;Kovo 11-osios g. 33A, Grigiškės, Vilniaus m. sav.;37052432800;Pradinė mokykla;rastine@grigiskiupradine.vilnius.lm.lt
87;Vilniaus Senvagės gimnazija;190002226;Vilniaus m. sav. Vilniaus m. Širvintų g. 80;37052770814;Gimnazija;rastine@senvages.vilnius.lm.lt
88;Vilniaus Šeškinės pradinė mokykla;191713384;Šeškinės g. 15, Vilnius;37052468767;Pradinė mokykla;rastine@seskinespradine.vilnius.lm.lt
89;Vilniaus Šilo mokykla;191722433;Vilniaus m. sav. Vilniaus m. Lakštingalų g. 8;37052710262;Pagrindinė mokykla;rastine@silospecialioji.vilnius.lm.lt
90;Vilniaus Simono Daukanto gimnazija;301806652;J. Jasinskio g. 11, Vilnius;37052496517;Gimnazija;rastine@daukanto.vilnius.lm.lt
91;Vilniaus Simono Daukanto progimnazija;301806638;Vilniaus m. sav. Vilniaus m. Naugarduko g. 7;37052331488;Progimnazija;rastine@daukantoprogimnazija.vilnius.lm.lt
92;Vilniaus Simono Konarskio mokykla;190005140;Vilniaus m. sav. Vilniaus m. Statybininkų g. 5;37052130518;Pagrindinė mokykla;rastine@konarskio.vilnius.lm.lt
93;Vilniaus Simono Stanevičiaus progimnazija;290008970;Vilniaus m. sav. Vilniaus m. S. Stanevičiaus g. 25;37052702062;Progimnazija;rastine@staneviciaus.vilnius.lm.lt
94;Vilniaus Sofijos Kovalevskajos gimnazija;304075188;Vilniaus m. sav. Vilniaus m. Dūkštų g. 30;37052400552;Gimnazija;rastine@kovalevskajosgimnazija.vilnius.lm.lt
95;Vilniaus Sofijos Kovalevskajos progimnazija;304075156;Vilniaus m. sav. Vilniaus m. Dūkštų g. 30;37052400942;Progimnazija;rastine@kovalevskajosprogimnazija.vilnius.lm.lt
96;Vilniaus Šolomo Aleichemo ORT gimnazija;190009352;Vilniaus m. sav. Vilniaus m. J. I. Kraševskio g. 5;37052410235;Gimnazija;rastine@aleichemo.vilnius.lm.lt
98;Vilniaus suaugusiųjų mokymo centras;190009548;Vykinto g. 11, Vilnius;37052751533;Gimnazija;rastine@smc.vilnius.lm.lt
99;Vilniaus šv. Kristoforo gimnazija;302420721;Kazliškių g. 4, Vilnius;37052735350;Gimnazija;rastine@kristoforo.vilnius.lm.lt
100;Vilniaus šv. Kristoforo progimnazija;302420714;Vilniaus m. sav. Vilniaus m. Kalvarijų g. 87;37052752973;Progimnazija;rastine@kristoforoprogimnazija.vilnius.lm.lt
101;Vilniaus Trakų Vokės gimnazija;191317260;Vilniaus m. sav. Vilniaus m. Trampolio g. 5;37052645190;Gimnazija;rastine@vokes.vilnius.lm.lt
102;Vilniaus Tuskulėnų gimnazija;190002030;Vilniaus m. sav. Vilniaus m. Tuskulėnų g. 31;37052799450;Gimnazija;rastine@tuskulenu.vilnius.lm.lt
103;Vilniaus Užupio gimnazija;190001124;Krivių g. 10, Vilnius;37052614023;Gimnazija;rastine@uzupio.vilnius.lm.lt
104;Vilniaus Vaduvos darželis-mokykla;290013960;Vaduvos g. 14A, Vilnius;37052322877;Pradinė mokykla;rastine@vaduvos.vilnius.lm.lt
105;Vilniaus Vasilijaus Kačialovo gimnazija;290005860;Vilniaus m. sav. Vilniaus m. Apolinaro Juozo Povilaičio g. 1;37052460039;Gimnazija;rastine@kacialovo.vilnius.lm.lt
106;Vilniaus Verkių mokykla-daugiafunkcis centras;190981237;Verkių g. 62, Vilnius;37052772844;Pagrindinė mokykla;rastine@verkiuspecialioji.vilnius.lm.lt
107;Vilniaus Vilkpėdės darželis-mokykla;190016699;Gerosios Vilties g. 15, Vilnius;37052339838;Pradinė mokykla;rastine@vilkpedes.lt
108;Vilniaus Viršuliškių progimnazija;190002379;Vilniaus m. sav. Vilniaus m. Viršuliškių g. 7;37052400584;Progimnazija;rastine@virsuliskiu.vilnius.lm.lt
109;Vilniaus Vytauto Didžiojo gimnazija;300134269;Augustijonų g. 8, Vilnius;37052791305;Gimnazija;rastine@vytautodidziojo.vilnius.lm.lt
110;Vilniaus Vytės Nemunėlio pradinė mokykla;195472468;Vilniaus m. sav. Vilniaus m. M. Daukšos g. 7;37052622947;Pradinė mokykla;rastine@nemunelio.vilnius.lm.lt
111;Vilniaus Vladislavo Sirokomlės gimnazija;190001462;Vilniaus m. sav. Vilniaus m. Linkmenų g. 8;37052751047;Gimnazija;rastine@sirokomles.vilnius.lm.lt
112;Vilniaus Volungės darželis-mokykla;191713046;Volungės g. 10, Vilnius;37052710582;Pradinė mokykla;rastine@volunges.vilnius.lm.lt
113;Vilniaus Žaliakalnio darželis-mokykla;191713231;Pergalės g. 22, Vilnius;37052671626;Pradinė mokykla;rastine@zaliakalnio.vilnius.lm.lt
114;Vilniaus Žemynos gimnazija;190008827;Čiobiškio g. 16, Vilnius;37052400561;Gimnazija;rastine@zemynosgimnazija.vilnius.lm.lt
115;Vilniaus Žemynos progimnazija;295472120;Žemynos g. 14, Vilnius;37052471766;Progimnazija;rastine@zemynosprogimnazija.vilnius.lm.lt
116;Vilniaus Žėručio pradinė mokykla;195007921;Vilniaus m. sav. Vilniaus m. Žėručio g. 15;37052445413;Pradinė mokykla;rastine@zerucio.vilnius.lm.lt
117;Vilniaus Žirmūnų gimnazija;190000360;Žirmūnų g. 37-1, Vilnius;37052767493;Gimnazija;rastine@zirmunu.vilnius.lm.lt
118;Vilniaus Žygimanto Augusto pagrindinė mokykla;290003090;Šeškinės g. 25, Vilnius;37052468454;Pagrindinė mokykla;rastine@augusto.vilnius.lm.lt
119;Vilniaus Žvėryno gimnazija;190001081;Žalioji g. 4, Vilnius;37052751037;Gimnazija;rastine@zveryno.vilnius.lm.lt
120;Vilniaus Vilnios pagrindinė mokykla;190978974;Vilniaus m. sav. Vilniaus m. Palydovo g. 29A;37052672985;Pagrindinė mokykla;rastine@vilniospm.vilnius.lm.lt
126;Karoliniškių muzikos mokykla;191662566;Vilniaus m. sav. Vilniaus m. Loretos Asanavičiūtės g. 2;37052459500;Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla;rastine@karoliniskiu.vilnius.lm.lt
127;Vilniaus muzikos mokykla „Lyra“;191663091;Laisvės pr. 57, Vilnius;37052429470;Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla;rastine@lyra.vilnius.lm.lt
128;Vilniaus Algirdo muzikos mokykla;191662413;Algirdo g. 23, Vilnius;37052332414;Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla;rastine@algirdo.vilnius.lm.lt
129;Vilniaus „Ąžuoliuko“ muzikos mokykla;191662751;Gedimino pr. 15A, Vilnius;37052621010;Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla;rastine@azuoliukas.vilnius.lm.lt
130;Vilniaus Balio Dvariono dešimtmetė muzikos  mokykla;191662185;T. Kosciuškos g. 13, Vilnius;37052611149;Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla;rastine@dvariono.vilnius.lm.lt
131;Vilniaus Broniaus Jonušo muzikos mokykla;191662370;Dariaus ir Girėno g. 16, Vilnius;37052695466;Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla;rastine@jonuso.vilnius.lm.lt
132;Vilniaus Naujosios Vilnios muzikos mokykla;191662228;Karklėnų g. 9, Vilnius;37052674718;Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla;rastine@nvilniosmm.vilnius.lm.lt
133;Vilniaus Justino Vienožinskio dailės mokykla;191663134;S. Konarskio g. 37, Vilnius;37052332550;Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla;rastine@vienozinskio.vilnius.lm.lt
134;Vilniaus Grigiškių meno mokykla;191818093;Vilniaus m. sav. Grigiškių m. Pašto g. 10;37052432557;Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla;rastine@grigiskiumeno.vilnius.lm.lt
